Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100n","C_0603_1608Metric",6.800000,-343.000000,90.000000,bottom
"C4","4.7u","C_0805_2012Metric",23.200000,-343.000000,90.000000,bottom
"C8","1u","C_0603_1608Metric",18.000000,-324.000000,90.000000,bottom
"D129","WW_2700K","Candle_LED_0603_Matrix",4.850000,-416.000000,90.000000,bottom
"D130","WW_2700K","Candle_LED_0603_Matrix",7.750000,-416.000000,90.000000,bottom
"D131","WW_2700K","Candle_LED_0603_Matrix",10.650000,-416.000000,90.000000,bottom
"D132","WW_2700K","Candle_LED_0603_Matrix",13.550000,-416.000000,90.000000,bottom
"D133","WW_2700K","Candle_LED_0603_Matrix",16.450000,-416.000000,90.000000,bottom
"D134","WW_2700K","Candle_LED_0603_Matrix",19.350000,-416.000000,90.000000,bottom
"D135","WW_2700K","Candle_LED_0603_Matrix",22.250000,-416.000000,90.000000,bottom
"D136","WW_2700K","Candle_LED_0603_Matrix",25.150000,-416.000000,90.000000,bottom
"D137","WW_2700K","Candle_LED_0603_Matrix",4.850000,-413.100000,90.000000,bottom
"D138","WW_2700K","Candle_LED_0603_Matrix",7.750000,-413.100000,90.000000,bottom
"D139","WW_2700K","Candle_LED_0603_Matrix",10.650000,-413.100000,90.000000,bottom
"D140","WW_2700K","Candle_LED_0603_Matrix",13.550000,-413.100000,90.000000,bottom
"D141","WW_2700K","Candle_LED_0603_Matrix",16.450000,-413.100000,90.000000,bottom
"D142","WW_2700K","Candle_LED_0603_Matrix",19.350000,-413.100000,90.000000,bottom
"D143","WW_2700K","Candle_LED_0603_Matrix",22.250000,-413.100000,90.000000,bottom
"D144","WW_2700K","Candle_LED_0603_Matrix",25.150000,-413.100000,90.000000,bottom
"D145","WW_2700K","Candle_LED_0603_Matrix",4.850000,-410.200000,90.000000,bottom
"D146","WW_2700K","Candle_LED_0603_Matrix",7.750000,-410.200000,90.000000,bottom
"D147","WW_2700K","Candle_LED_0603_Matrix",10.650000,-410.200000,90.000000,bottom
"D148","WW_2700K","Candle_LED_0603_Matrix",13.550000,-410.200000,90.000000,bottom
"D149","WW_2700K","Candle_LED_0603_Matrix",16.450000,-410.200000,90.000000,bottom
"D150","WW_2700K","Candle_LED_0603_Matrix",19.350000,-410.200000,90.000000,bottom
"D151","WW_2700K","Candle_LED_0603_Matrix",22.250000,-410.200000,90.000000,bottom
"D152","WW_2700K","Candle_LED_0603_Matrix",25.150000,-410.200000,90.000000,bottom
"D153","WW_2700K","Candle_LED_0603_Matrix",4.850000,-407.300000,90.000000,bottom
"D154","WW_2700K","Candle_LED_0603_Matrix",7.750000,-407.300000,90.000000,bottom
"D155","WW_2700K","Candle_LED_0603_Matrix",10.650000,-407.300000,90.000000,bottom
"D156","WW_2700K","Candle_LED_0603_Matrix",13.550000,-407.300000,90.000000,bottom
"D157","WW_2700K","Candle_LED_0603_Matrix",16.450000,-407.300000,90.000000,bottom
"D158","WW_2700K","Candle_LED_0603_Matrix",19.350000,-407.300000,90.000000,bottom
"D159","WW_2700K","Candle_LED_0603_Matrix",22.250000,-407.300000,90.000000,bottom
"D160","WW_2700K","Candle_LED_0603_Matrix",25.150000,-407.300000,90.000000,bottom
"D161","WW_2700K","Candle_LED_0603_Matrix",4.850000,-404.400000,90.000000,bottom
"D162","WW_2700K","Candle_LED_0603_Matrix",7.750000,-404.400000,90.000000,bottom
"D163","WW_2700K","Candle_LED_0603_Matrix",10.650000,-404.400000,90.000000,bottom
"D164","WW_2700K","Candle_LED_0603_Matrix",13.550000,-404.400000,90.000000,bottom
"D165","WW_2700K","Candle_LED_0603_Matrix",16.450000,-404.400000,90.000000,bottom
"D166","WW_2700K","Candle_LED_0603_Matrix",19.350000,-404.400000,90.000000,bottom
"D167","WW_2700K","Candle_LED_0603_Matrix",22.250000,-404.400000,90.000000,bottom
"D168","WW_2700K","Candle_LED_0603_Matrix",25.150000,-404.400000,90.000000,bottom
"D169","WW_2700K","Candle_LED_0603_Matrix",4.850000,-401.500000,90.000000,bottom
